name                    ,time,value,rate,unit,path
RootDryWeightProfile_60-70        ,8,0,NA,g,//soil
RootDryWeightProfile_60-70        ,9,0,NA,g,//soil
RootDryWeightProfile_60-70        ,10,0,NA,g,//soil
RootDryWeightProfile_60-70        ,11,0,NA,g,//soil
RootDryWeightProfile_60-70        ,12,0,NA,g,//soil
RootDryWeightProfile_60-70        ,13,0,NA,g,//soil
RootDryWeightProfile_60-70        ,14,0,NA,g,//soil
RootDryWeightProfile_60-70        ,15,0,NA,g,//soil
RootDryWeightProfile_60-70        ,16,0.00073707,NA,g,//soil
RootDryWeightProfile_60-70        ,17,0.00520321,NA,g,//soil
RootDryWeightProfile_60-70        ,18,0.01238012,NA,g,//soil
RootDryWeightProfile_60-70        ,19,0.02156616,NA,g,//soil
RootDryWeightProfile_60-70        ,20,0.02741215,NA,g,//soil
RootDryWeightProfile_60-70        ,21,0.03203044,NA,g,//soil
RootDryWeightProfile_60-70        ,22,0.03590125,NA,g,//soil
RootDryWeightProfile_60-70        ,23,0.0436676,NA,g,//soil
RootDryWeightProfile_60-70        ,24,0.05516287,NA,g,//soil
RootDryWeightProfile_60-70        ,25,0.07026128,NA,g,//soil
RootDryWeightProfile_60-70        ,26,0.08922176,NA,g,//soil
RootDryWeightProfile_60-70        ,27,0.12097044,NA,g,//soil
RootDryWeightProfile_60-70        ,28,0.15893971,NA,g,//soil
RootDryWeightProfile_60-70        ,29,0.20532485,NA,g,//soil
RootDryWeightProfile_60-70        ,30,0.24441845,NA,g,//soil
RootDryWeightProfile_60-70        ,31,0.28276548,NA,g,//soil
RootDryWeightProfile_60-70        ,32,0.30330311,NA,g,//soil
RootDryWeightProfile_60-70        ,33,0.3180664,NA,g,//soil
RootDryWeightProfile_70-80        ,0,0,NA,g,//soil
RootDryWeightProfile_70-80        ,1,0,NA,g,//soil
RootDryWeightProfile_70-80        ,2,0,NA,g,//soil
RootDryWeightProfile_70-80        ,3,0,NA,g,//soil
RootDryWeightProfile_70-80        ,4,0,NA,g,//soil
RootDryWeightProfile_70-80        ,5,0,NA,g,//soil
RootDryWeightProfile_70-80        ,6,0,NA,g,//soil
RootDryWeightProfile_70-80        ,7,0,NA,g,//soil
RootDryWeightProfile_70-80        ,8,0,NA,g,//soil
RootDryWeightProfile_70-80        ,9,0,NA,g,//soil
RootDryWeightProfile_70-80        ,10,0,NA,g,//soil
RootDryWeightProfile_70-80        ,11,0,NA,g,//soil
RootDryWeightProfile_70-80        ,12,0,NA,g,//soil
RootDryWeightProfile_70-80        ,13,0,NA,g,//soil
RootDryWeightProfile_70-80        ,14,0,NA,g,//soil
RootDryWeightProfile_70-80        ,15,0,NA,g,//soil
RootDryWeightProfile_70-80        ,16,0,NA,g,//soil
RootDryWeightProfile_70-80        ,17,0,NA,g,//soil
RootDryWeightProfile_70-80        ,18,0,NA,g,//soil
RootDryWeightProfile_70-80        ,19,0.00183617,NA,g,//soil
RootDryWeightProfile_70-80        ,20,0.00795471,NA,g,//soil
RootDryWeightProfile_70-80        ,21,0.0167933,NA,g,//soil
RootDryWeightProfile_70-80        ,22,0.02477346,NA,g,//soil
RootDryWeightProfile_70-80        ,23,0.03078341,NA,g,//soil
RootDryWeightProfile_70-80        ,24,0.03431298,NA,g,//soil
RootDryWeightProfile_70-80        ,25,0.04022043,NA,g,//soil
RootDryWeightProfile_70-80        ,26,0.04940639,NA,g,//soil
RootDryWeightProfile_70-80        ,27,0.06208169,NA,g,//soil
RootDryWeightProfile_70-80        ,28,0.07844993,NA,g,//soil
RootDryWeightProfile_70-80        ,29,0.10136404,NA,g,//soil
RootDryWeightProfile_70-80        ,30,0.13334405,NA,g,//soil
RootDryWeightProfile_70-80        ,31,0.16729233,NA,g,//soil
RootDryWeightProfile_70-80        ,32,0.2051757,NA,g,//soil
RootDryWeightProfile_70-80        ,33,0.23694364,NA,g,//soil
RootDryWeightProfile_80-90        ,0,0,NA,g,//soil
RootDryWeightProfile_80-90        ,1,0,NA,g,//soil
RootDryWeightProfile_80-90        ,2,0,NA,g,//soil
RootDryWeightProfile_80-90        ,3,0,NA,g,//soil
RootDryWeightProfile_80-90        ,4,0,NA,g,//soil
RootDryWeightProfile_80-90        ,5,0,NA,g,//soil
RootDryWeightProfile_80-90        ,6,0,NA,g,//soil
RootDryWeightProfile_80-90        ,7,0,NA,g,//soil
RootDryWeightProfile_80-90        ,8,0,NA,g,//soil
RootDryWeightProfile_80-90        ,9,0,NA,g,//soil
RootDryWeightProfile_80-90        ,10,0,NA,g,//soil
RootDryWeightProfile_80-90        ,11,0,NA,g,//soil
RootDryWeightProfile_80-90        ,12,0,NA,g,//soil
RootDryWeightProfile_80-90        ,13,0,NA,g,//soil
RootDryWeightProfile_80-90        ,14,0,NA,g,//soil
RootDryWeightProfile_80-90        ,15,0,NA,g,//soil
RootDryWeightProfile_80-90        ,16,0,NA,g,//soil
RootDryWeightProfile_80-90        ,17,0,NA,g,//soil
RootDryWeightProfile_80-90        ,18,0,NA,g,//soil
RootDryWeightProfile_80-90        ,19,0,NA,g,//soil
RootDryWeightProfile_80-90        ,20,0,NA,g,//soil
RootDryWeightProfile_80-90        ,21,0.00043365,NA,g,//soil
RootDryWeightProfile_80-90        ,22,0.00541369,NA,g,//soil
RootDryWeightProfile_80-90        ,23,0.01366267,NA,g,//soil
RootDryWeightProfile_80-90        ,24,0.02192266,NA,g,//soil
RootDryWeightProfile_80-90        ,25,0.02789121,NA,g,//soil
RootDryWeightProfile_80-90        ,26,0.03190358,NA,g,//soil
RootDryWeightProfile_80-90        ,27,0.03607239,NA,g,//soil
RootDryWeightProfile_80-90        ,28,0.04317939,NA,g,//soil
RootDryWeightProfile_80-90        ,29,0.05374743,NA,g,//soil
RootDryWeightProfile_80-90        ,30,0.06784867,NA,g,//soil
RootDryWeightProfile_80-90        ,31,0.08546739,NA,g,//soil
RootDryWeightProfile_80-90        ,32,0.11254676,NA,g,//soil
RootDryWeightProfile_80-90        ,33,0.1433858,NA,g,//soil
RootDryWeightProfile_90-100       ,0,0,NA,g,//soil
RootDryWeightProfile_90-100       ,1,0,NA,g,//soil
RootDryWeightProfile_90-100       ,2,0,NA,g,//soil
RootDryWeightProfile_90-100       ,3,0,NA,g,//soil
RootDryWeightProfile_90-100       ,4,0,NA,g,//soil
RootDryWeightProfile_90-100       ,5,0,NA,g,//soil
RootDryWeightProfile_90-100       ,6,0,NA,g,//soil
RootDryWeightProfile_90-100       ,7,0,NA,g,//soil
RootDryWeightProfile_90-100       ,8,0,NA,g,//soil
RootDryWeightProfile_90-100       ,9,0,NA,g,//soil
RootDryWeightProfile_90-100       ,10,0,NA,g,//soil
RootDryWeightProfile_90-100       ,11,0,NA,g,//soil
RootDryWeightProfile_90-100       ,12,0,NA,g,//soil
RootDryWeightProfile_90-100       ,13,0,NA,g,//soil
RootDryWeightProfile_90-100       ,14,0,NA,g,//soil
RootDryWeightProfile_90-100       ,15,0,NA,g,//soil
RootDryWeightProfile_90-100       ,16,0,NA,g,//soil
RootDryWeightProfile_90-100       ,17,0,NA,g,//soil
RootDryWeightProfile_90-100       ,18,0,NA,g,//soil
RootDryWeightProfile_90-100       ,19,0,NA,g,//soil
RootDryWeightProfile_90-100       ,20,0,NA,g,//soil
RootDryWeightProfile_90-100       ,21,0,NA,g,//soil
RootDryWeightProfile_90-100       ,22,0,NA,g,//soil
RootDryWeightProfile_90-100       ,23,0.00023396,NA,g,//soil
RootDryWeightProfile_90-100       ,24,0.00433673,NA,g,//soil
RootDryWeightProfile_90-100       ,25,0.01131676,NA,g,//soil
RootDryWeightProfile_90-100       ,26,0.01951487,NA,g,//soil
RootDryWeightProfile_90-100       ,27,0.02579711,NA,g,//soil
RootDryWeightProfile_90-100       ,28,0.03187549,NA,g,//soil
RootDryWeightProfile_90-100       ,29,0.03614096,NA,g,//soil
RootDryWeightProfile_90-100       ,30,0.04207693,NA,g,//soil
RootDryWeightProfile_90-100       ,31,0.05117273,NA,g,//soil
RootDryWeightProfile_90-100       ,32,0.06388949,NA,g,//soil
RootDryWeightProfile_90-100       ,33,0.08035458,NA,g,//soil
